entity_id,state,last_changed
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T08:04:15.389Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T08:09:03.822Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T08:13:52.256Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T08:18:21.402Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T08:22:50.782Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T08:24:27.023Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T08:27:00.986Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T08:30:13.355Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T08:33:45.054Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T08:37:55.258Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T08:39:50.773Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T08:41:27.035Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T08:43:41.826Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T08:45:18.200Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T08:46:35.259Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T08:47:52.398Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T08:49:09.568Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T08:55:16.410Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T08:56:33.707Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T08:57:50.995Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T09:05:15.739Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T09:07:30.845Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T09:09:27.375Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T09:11:04.159Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T09:13:58.455Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T09:18:48.980Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T09:20:25.851Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T09:22:41.506Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T09:25:55.374Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T09:29:28.308Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T09:30:46.206Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T09:33:21.375Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T09:34:38.952Z
